model_name,output_size,num_parm,acc,f1,iters
layer:68,"[1, 4]",[4],-0.809524,-0.807652,12
layer:67,"[1, 512, 1, 1]",[512],-0.685714,-0.68456,26
layer:66,"[1, 512, 7, 7]",[25088],-0.72381,-0.72318,31
layer:65,"[1, 512, 7, 7]",[25088],-0.752381,-0.749221,20
layer:64,"[1, 512, 7, 7]",[25088],-0.72381,-0.722538,63
layer:63,"[1, 512, 7, 7]",[25088],-0.733333,-0.729243,50
layer:62,"[1, 512, 7, 7]",[25088],-0.749206,-0.740315,46
layer:61,"[1, 512, 7, 7]",[25088],-0.657143,-0.648591,38
layer:60,"[1, 512, 7, 7]",[25088],-0.650794,-0.644644,36
layer:58,"[1, 512, 7, 7]",[25088],-0.628571,-0.609924,70
